,Company,Total,Employees,AnnualRevenue,BCGTop50,ForbesTop100
0,ST Electronics (Info-comm Systems) Pte Ltd,1831,23000,7.86bn SGD,,
1,Facebook,1363,52534,70.7bn USD,Yes,Yes
2,IHIS - Integrated Health Information Systems Pte Ltd,944,1600,1.55bn USD,,
3,Cisco Systems,786,75900,51.9bn USD,,
4,Autodesk,756,10300,3.27bn USD,,Yes
5,GOOGLE ASIA PACIFIC PTE. LTD.,666,1500,55bn USD,,
6,VMware,505,24200,8.97bn USD,,
7,M1 Limited,455,1541,312.8mil SGD,,
8,Amadeus IT Group SA,453,19000,4.94bn EUR,,
9,Luxoft,449,12900,906.8mil USD,,
10,Red Hat,437,13400,3.4bn USD,,Yes
11,Alibaba,422,117600,72bn USD,Yes,
12,Equinix,417,7800,5.5bn USD,,
13,MILWORKS SOLUTIONS PTE. LTD.,404,1-50e,,,
14,Google,365,114096,134.81bn USD,,
15,Optimum Solutions (S) Pte Ltd,318,2800,,,
16,Nokia,315,98322,23.32bn USD,,
17,FACEBOOK SINGAPORE PTE. LTD.,300,52534,70.7bn USD,Yes,
18,ERP21 PTE LTD,246,14,2.8mil USD,,
19,Agilent Technologies Singapore (International) Pte Ltd,242,13500,5.16bn USD,,
20,ATT Systems (Singapore) Pte Ltd.,232,109,78.20mil USD,,
21,SALESFORCE.COM SINGAPORE PTE. LTD.,229,49000,17.1bn USD,Yes,Yes
22,ST Electronics (Training & Simulation Systems) Pte Ltd,226,23000,7.86bn SGD,,
23,Digisafe Pte Ltd,220,23000,7.86bn SGD,,
24,iqDynamics Pte Ltd,217,48,36mil USD,,
25,ORACLE CAPAC SERVICES UNLIMITED COMPANY (SINGAPORE BRANCH),216,629,4.36bn USD,Yes,
26,Lazada,215,8000,1bn USD,,
27,ORACLE CORPORATION SINGAPORE PTE LTD,209,135000,39.50bn USD,Yes,
28,HCL SINGAPORE PTE. LTD.,195,150000,10bn USD,,
29,F5 Networks,186,5325,2.24bn USD,,
30,REFINITIV ASIA PTE. LTD.,182,18500,6.1bn USD,,
31,D L RESOURCES PTE LTD,181,51-200e,,,
32,Ingram Micro Asia Ltd,179,33000,50.8bn USD,,
33,Creative Technology Group of Companies,163,800,66.1mil USD,,
34,ASCENTIS PTE. LTD.,163,400,25mil USD,,
35,Singapore Immunology Network (SIgN),158,185,,,
36,WORKATO PTE. LTD.,154,254,36.8mil USD,,
37,Adobe,153,22635,11.17bn USD,,Yes
38,DXC Technology,148,138000,20.75bn USD,,
39,Foxconn Singapore Pte Ltd,147,803126,4.706tr USD,,
40,Gartner,142,15173,4.25bn USD,,
41,Trustwave,139,1600,216mil USD,,
42,Citrix,133,8200,3.01bn USD,,
43,OutSystems,131,1228,200mil USD,,
44,AMAZON WEB SERVICES SINGAPORE PRIVATE LIMITED,131,25000,280.5bn USD,Yes,
45,FUJITSU ASIA PTE LTD,129,140365,4.098tr JPY,,
46,Aruba Networks,118,7000,2.9bn USD,,
47,CommonTown Pte Ltd,118,44,8mil USD,,
48,AUTODESK ASIA PTE. LTD.,118,10300,3.27bn USD,,Yes
49,LAZADA SOUTH EAST ASIA PTE. LTD.,117,8000,1bn USD,,
50,FUTUREX TECHNOLOGIES PTE. LTD.,116,49,9mil USD,,
51,Ericsson-Worldwide,109,99417,227bn SKR,,
52,FoodRazor,106,8,918.6k USD,,
53,AMAZON ASIA-PACIFIC RESOURCES PRIVATE LIMITED,101,1000000,280.5bn USD,Yes,
54,Westcon Group Pte Ltd,99,307,400mil USD,,
55,Vector InfoTech Pte Ltd,98,107,98mil USD,,
56,HERE Technologies,96,15000,12bn USD,,
